,index,g_id,g_name,drpo_ConfiguredRPO,drpol_CurrentRPO,drpol_Deviation,CPU-Usage (%),Memory-Usage (%),Network-Usage Rate (KBps),Disk-Read IOPS,Disk-Read Latency (ms),Disk-Total IOPS,Disk-Total Latency (ms),Disk-Total Throughput (KBps),Disk-Write IOPS,Disk-Write Latency (ms),Disk-Read Throughput (KBps),Disk-Write Throughput (KBps)
0,2020-12-23 10:10:00,177,RG_apprdotmOLTPdb,7200,1,0,13.2626667022705,41.4580001831055,5697.33349609375,488.866668701172,1.26078462600708,1308.40002441406,0.950545191764832,13054.06640625,819.533325195313,1.43497717380524,9532.7998046875,3531.46655273438
1,2020-12-23 10:20:00,177,RG_apprdotmOLTPdb,7200,24,0,10.3699998855591,42.9900016784668,5672.06689453125,1000.06665039063,0.564033508300781,1822.53332519531,0.726344287395477,25509.333984375,822.466674804688,0.387886554002762,21776.19921875,3744.80004882812
2,2020-12-23 10:30:00,177,RG_apprdotmOLTPdb,7200,24,0,10.739333152771,54.9900016784668,4400.66650390625,1401.19995117188,0.709525167942047,1733,0.659975647926331,30055.19921875,331.799987792969,0.427940666675568,28298.533203125,1767.33337402344
3,2020-12-23 10:40:00,177,RG_apprdotmOLTPdb,7200,1,0,7.88866662979126,39.9900016784668,5357.13330078125,1033.13330078125,0.788359045982361,1575.06665039063,0.733937203884125,22142.732421875,541.933349609375,0.676076591014862,19723,2430.46655273438
4,2020-12-23 10:50:00,177,RG_apprdotmOLTPdb,7200,1,0,13.3380002975464,52.7919998168945,3997.2666015625,691,1.0951406955719,1148.80004882813,0.914894759654999,16034.6669921875,457.799987792969,0.459588557481766,13840.3330078125,2204.46655273438
5,2020-12-23 11:00:00,177,RG_apprdotmOLTPdb,7200,232,0,19.3793334960937,65.3233337402344,4476.2666015625,1568.86669921875,1.55029678344727,3189.66674804687,1.24789357185364,43881.8671875,1620.80004882813,0.698776721954346,35327.734375,8565.8662109375
6,2020-12-23 11:10:00,177,RG_apprdotmOLTPdb,7200,232,0,10.6666669845581,53.189998626709,6815.2001953125,795.799987792969,0.950908958911896,1412.86669921875,0.905195116996765,20541.8671875,617.066650390625,0.472692549228668,17779.1328125,2773.60009765625
7,2020-12-23 11:20:00,177,RG_apprdotmOLTPdb,7200,1,0,21.8320007324219,60.1233329772949,5896.06689453125,1791.19995117188,0.872822701931,2431.7333984375,0.786056578159332,36844.33203125,640.533325195313,0.491832286119461,33947.3984375,2907.39990234375
8,2020-12-23 11:30:00,177,RG_apprdotmOLTPdb,7200,21,0,24.2220001220703,65.5899963378906,5721.60009765625,2144.33325195312,0.669044017791748,2701.33325195312,0.659802556037903,50761.53515625,557,0.561872661113739,48221.46484375,2550.66674804688
9,2020-12-23 11:40:00,177,RG_apprdotmOLTPdb,7200,21,0,14.0473337173462,60.1233329772949,5666.2001953125,2991.13330078125,1.20950365066528,4715.93310546875,1.48840856552124,101434.53125,1724.80004882813,0.38086125254631,92245.734375,9200.2666015625
10,2020-12-23 11:50:00,177,RG_apprdotmOLTPdb,7200,21,0,15.0699996948242,56.5900001525879,6210.86669921875,2181,0.713454604148865,2721.86669921875,0.708538234233856,42685.3984375,540.866638183594,0.851758480072022,40299.66796875,2396.46655273437
11,2020-12-23 12:00:00,177,RG_apprdotmOLTPdb,7200,21,0,13.3793334960938,57.9900016784668,8707.3330078125,1199.13330078125,0.769548356533051,1744.93334960938,0.721940338611603,25726.06640625,545.799987792969,0.624920070171356,23182.533203125,2555.13330078125
12,2020-12-23 12:10:00,177,RG_apprdotmOLTPdb,7200,1,0,12.0773334503174,62.2566680908203,10284.466796875,1450.86669921875,0.748205661773681,1996.53332519531,0.725920498371124,30827.267578125,545.666687011719,1.18055558204651,28343.400390625,2494.93334960937
13,2020-12-23 12:20:00,177,RG_apprdotmOLTPdb,7200,1,0,19.5200004577637,74.1900024414062,5731.466796875,3752.7333984375,0.531453788280487,4748.2001953125,0.493612080812454,101901,995.466674804688,0.325126767158508,97514.6640625,4397.466796875
14,2020-12-23 12:30:00,177,RG_apprdotmOLTPdb,7200,1,0,16.5773334503174,61.723331451416,6080.7998046875,1670.26672363281,0.686663448810577,2409.06665039062,0.612368106842041,35242,738.799987792969,0.547208487987518,31898.19921875,3355.13330078125
15,2020-12-23 12:40:00,177,RG_apprdotmOLTPdb,7200,1,0,17.5739994049072,63.4566650390625,8352.06640625,2862.2666015625,0.508423805236816,3524.60009765625,0.50473815202713,64111.6015625,662.333312988281,1.24745965003967,61070.19921875,3051.80004882813
16,2020-12-23 12:50:00,177,RG_apprdotmOLTPdb,7200,476,0,16.1486663818359,65.3899993896484,6082.60009765625,2402.33325195312,0.443962812423706,3821.39990234375,0.373448938131332,55578.734375,1419.06665039063,0.415835201740265,49380.46484375,6210.33349609375
17,2020-12-23 13:00:00,177,RG_apprdotmOLTPdb,7200,476,0,14.5813331604004,61.7900009155273,5500.93310546875,2194.66674804687,0.573230028152466,2800.39990234375,0.577234983444214,73922.9296875,605.733337402344,0.510554432868958,71201.796875,2732.53344726562
18,2020-12-23 13:10:00,177,RG_apprdotmOLTPdb,7200,1,0,8.57533359527588,61.5900001525879,5430.33349609375,1511.73327636719,0.663923680782318,1881.46667480469,0.680580139160156,44260.80078125,369.733337402344,0.486825317144394,42266,2005.93334960937
19,2020-12-23 13:20:00,177,RG_apprdotmOLTPdb,7200,1,0,8.42000007629395,44.656665802002,6042.06689453125,1462.46667480469,0.505134403705597,1939.53332519531,0.545219361782074,29837.599609375,477.066680908203,1.36326205730438,27637,2210.86669921875
20,2020-12-23 13:30:00,177,RG_apprdotmOLTPdb,7200,1,0,9.57333374023438,52.2566680908203,7447.466796875,1538.73327636719,0.437332302331924,2108.13330078125,0.50566691160202,31877.19921875,569.400024414063,0.584858357906342,29264.599609375,2623.93334960937
21,2020-12-23 13:40:00,177,RG_apprdotmOLTPdb,7200,1,0,11.941333770752,54.5919990539551,4215.7333984375,1449.19995117188,0.94683963060379,1834.33337402344,0.829794645309448,63734.66796875,385.133331298828,0.517548799514771,62017.06640625,1728.59997558594
22,2020-12-23 13:50:00,177,RG_apprdotmOLTPdb,7200,2,0,7.63733339309692,44.3233337402344,4151.466796875,756.733337402344,0.750588774681091,1157.86669921875,0.653915226459503,17095.19921875,401.133331298828,0.504700541496277,15318.93359375,1786.53332519531
23,2020-12-23 14:00:00,177,RG_apprdotmOLTPdb,7200,2,0,9.22666645050049,56.5900001525879,3575.93334960937,2537.80004882812,0.642866551876068,3143.80004882812,0.620586574077606,72951.6640625,606,0.519402503967285,70281.6015625,2681.33325195312
24,2020-12-23 14:10:00,177,RG_apprdotmOLTPdb,7200,175,0,10.7679996490479,57.7900009155273,4295.7333984375,1004.53332519531,1.79076182842255,2557.66674804687,1.83744561672211,30983.80078125,1553.13330078125,0.524642646312714,22549.599609375,8444.6669921875
25,2020-12-23 14:20:00,177,RG_apprdotmOLTPdb,7200,175,0,8.44533348083496,47.5919990539551,6216.2001953125,615.599975585937,0.919168293476105,1115.19995117188,0.729738533496857,12741.93359375,499.600006103516,0.546743810176849,10429.400390625,2323.06665039063
26,2020-12-23 14:30:00,177,RG_apprdotmOLTPdb,7200,0,0,10.728666305542,61.3233337402344,9651.6669921875,2539.2666015625,0.607086896896362,2982.39990234375,0.602288961410522,90421.6015625,443.133331298828,0.651454329490662,88355.0703125,2078.33325195312
